2024-11-22 12:17:05 [main] INFO  tria.Main - SISTEMA INICIANDO... 
2024-11-22 13:01:56 [grizzly-http-server-1] INFO  tria.entidades.Carro - Cadastrado: Carro(placa=ERT1234, marca=Fiat, modelo=Uno, ano=2020, bateria=null, placaBateria=null) 
2024-11-22 13:01:58 [grizzly-http-server-2] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null), Carro(placa=ERT1234, marca=Fiat, modelo=Uno, ano=2020, bateria=null, placaBateria=null)] 
2024-11-22 13:01:58 [grizzly-http-server-3] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null), Carro(placa=ERT1234, marca=Fiat, modelo=Uno, ano=2020, bateria=null, placaBateria=null)] 
2024-11-22 13:02:03 [grizzly-http-server-4] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=ERT1234, marca=Fiat, modelo=Uno, ano=2020, bateria=null, placaBateria=null) 
2024-11-22 13:02:03 [grizzly-http-server-5] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=ERT1234, marca=Fiat, modelo=Uno, ano=2020, bateria=null, placaBateria=null) 
2024-11-22 13:02:08 [grizzly-http-server-7] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=ERT1234, marca=Fiat, modelo=Uno, ano=2020, bateria=null, placaBateria=null) 
2024-11-22 13:02:08 [grizzly-http-server-7] INFO  tria.entidades.Carro - Atualizado: Carro(placa=ERT1234, marca=Fiat, modelo=Palio, ano=2020, bateria=null, placaBateria=null) 
2024-11-22 13:02:10 [grizzly-http-server-8] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null), Carro(placa=ERT1234, marca=Fiat, modelo=Palio, ano=2020, bateria=null, placaBateria=null)] 
2024-11-22 13:02:10 [grizzly-http-server-9] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null), Carro(placa=ERT1234, marca=Fiat, modelo=Palio, ano=2020, bateria=null, placaBateria=null)] 
2024-11-22 13:02:13 [grizzly-http-server-10] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=ERT1234, marca=Fiat, modelo=Palio, ano=2020, bateria=null, placaBateria=null) 
2024-11-22 13:02:13 [grizzly-http-server-11] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=ERT1234, marca=Fiat, modelo=Palio, ano=2020, bateria=null, placaBateria=null) 
2024-11-22 13:02:13 [grizzly-http-server-1] INFO  tria.entidades.Carro - Buscado por ID: Carro(placa=ERT1234, marca=Fiat, modelo=Palio, ano=2020, bateria=null, placaBateria=null) 
2024-11-22 13:02:14 [grizzly-http-server-1] INFO  tria.entidades.Carro - Deletado: Carro(placa=ERT1234, marca=Fiat, modelo=Palio, ano=2020, bateria=null, placaBateria=null) 
2024-11-22 13:02:15 [grizzly-http-server-2] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 13:02:15 [grizzly-http-server-3] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 13:02:36 [grizzly-http-server-4] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 13:02:36 [grizzly-http-server-5] INFO  tria.entidades.Carro - Listados: [Carro(placa=PLO1234, marca=BYD, modelo=Dolphin, ano=2023, bateria=null, placaBateria=null), Carro(placa=XYZ5678, marca=Honda, modelo=HB20, ano=2022, bateria=null, placaBateria=null)] 
2024-11-22 13:02:38 [grizzly-http-server-6] INFO  tria.entidades.Bateria - Listados: [Bateria(tensao_nominal=48.0, capacidade_ah=100.0, capacidade_kwh=4800.0)] 
